text,label
সাংবাদিকতা ছেড়ে মরা মানুষের বা....... পালানো উচিৎ সাংবাদিক সাহেবের,0
সকল সাংবাদিক রা পরীমনির পাছার সাথে,1
সংগৃহীত ছবি গুলো ফ্রান্সের জাদু ঘরে রাখা হক,0
আজকের এই দিনে দাজ্জাল তোমায় মনে পড়ে,0
বিষয়টা জানানোর জন্য।,0
জাহান্নামের আগুন ও ওকে ভয় পায়।,0
জনপ্রিয় নায়িকা না লিখে লিখতে হবে জনপ্রিয় নির্লজ্জ,1
দুঃখীত। এই পেজ টারেও unfollow করে দিলাম,0
এইবার লুংগি পইরা পরের বার জাইংগা পইরা বার্থডে পার্টি করবে পরি আপা,1
"দুরু হালার পুট এতো দিন কি সাংবাদিক গিরি শিখলি ,,,,, জনপ্রিয় নায়িকা না ,,,,,, জনপ্রিয় কলগার্ল",1
এর নিউজগুলো জুম করে দেখতে ভালো লাগে,1
পরির নানা।,0
"আমি চিৎকার করে বকিতে চাহিয়াও বকিতে পারি নাহ,,,,",0
"ওর নানা-ই কপাল করে জন্মেছে, এ বয়সেও চুমাচামি চলছে..!!",1
এই মাইয়া পাগলমি শুরু করছে,1
নানা খেয়ে দিল!!,1
"উল্টা-পাল্টা কিছু লিখতেও পারিনা,",0
তাহার প্রতি ক্রাশ খাওয়া আমার অবুঝ মন,1
"হাফ প্যান্ট পরে জন্ম দিন পালন করে,, হায় রে দুনিয়া",1
"পোস্টটা দেখে অনেকক্ষণ ভাবলাম, কিছুই বুঝতে পারলাম না। তারপর দিন রাত বই পড়ে গবেষণা করলাম, তাও কিছু বুঝলাম না। এলাকার গণ্যমান্য মুরুব্বিদের জিজ্ঞেস করলাম, তারাও ঘাবড়ে গেল, কিছুই বলতে পারল না। ড. মুহাম্মাদ শহীদুল্লাহর কাছে নিয়ে গেলাম, তিনি এটা দেখে জ্ঞান হ…",0
সাংবাদিক ভাই আপনি এমন একটা কাজ করেছেন। আপনি মরে যাওয়ার পরে ও যারিয়াহ হিসাবে ও এগুলোর আমল পাবেন। এই সব কাজ আপনি সব সময় কইরেন ভাই।,0
সাংবাদিককে নোবেল দেওয়া হোক অস্থিত ছবি উঠাইছে,0
হেতি বছর এ কয় বার জন্মদিন পালন করে।। খালি কেক খাওয়ার ধান্দা।।,1
ইশ আমি যদি পরীমনির নানা হতাম,1
"একেই বলে, পাছায় গামছা",1
শুভ জন্মদিন প্রিয়,0
এই বন্য প্রাণী গুলোকে কঠোর নজরদারিতে রাখা দরকার না হলে মানুষ বিনোদন পাবে না,1
হিতি মাগির দালাল,1
এই পতিতার বাচ্চার ন্যূনতম লজ্জা থাকলে সে নিজ দায়িত্বে দেশ ত্যাগ করা উচিত ...!,1
ইশ যদি আমি তার নানা হতাম,1
সফল চামরা ব্যাবসাই,1
পরি মনিকে চুদার টাইম নাই,1
"দেশের একমাত্র জনগুরুত্বপূর্ণ খবর,যা কিনা সব টিভি চ্যানেলে চলছে!",0
কতটা বেহায়া হইলে মানুষ এতোকিছুর পরেও এমন করতে পারে তা পরিমনিকে না দেখলে জানতামই নাহ,1
"সকল সাংবাদিক রা পরিমনির পাছার সাথে মিশে থাকে কখন সে পাদ দিবে,সব শালারা বাটপার। কোরআনের পাখি গুলোর কি অবস্থা তা নিয়ে কোন কথা নাই, এরা সাংবাদিক না",1
সাংবাদিক সাহেব এইটা জনপ্রিয় হবে না জননিন্দিত হবে,0
লুঙ্গীর ইজ্জত খেয়ে দিলো।,1
এই নানা সাহেব একজন দায়ূস।,0
মার্ক জুকারবার্গের কাছে অনুরোধ করছি শুধু বাংলাদেশের জন্য প্লিজ একটা জুতার রিয়্যাক্ট চালু করেন।,0
একটা সুন্দর চেহারা থাকলেই মানুষ সুন্দর হয় না। জ্ঞানের চেয়ে বড় সৌন্দর্য আর হয় না।,0
"যার একদিন পর্ণ সাইটে উঁকি না দিলে দিন কাটেনা সেও এখানে এসে ধর্মের বুলি ঝাড়ে, যুব সমাজের নষ্টের কথা ভাবে।  বলি.. বাছা তুমি তো সাধু তাহলে অর্ধনগ্ন ছবি দেখা মাত্র ছবিতে ক্লিক করে জুম করে দেকতেছো কেন?? আগে নিজে শোধরাও তারপর অপরকে জ্ঞান দিয়ো।",1
জেলে মধ্যে নানা ধরনের রিমান্ড খেয়ে আজ এমন অবস্থা,0
আগামী  দিনে পর্নতারকার  তালিকায়  পরিমনির নাম উঠে আসবে এটা নিশ্চিত  থাকেন ।,1
মানুষের লজ্জা নাই কিছু বলব না,1
"সালা ফাঁকে থেকে পরিমুনির নানা ভাই দান মারছে,নাতনির যে কোন স্থানে হাত দিতে পারছে।",1
ফ্রি তে খেলার সুযোগ,1
টুপিটা খুলে চুমা দেন,1
"জন্ম যখন হয়েছিলো তখন তো নগ্ন ছিলো, পরিমনি সেটাই মনের মধ্যে ধরণ করেন আছে।আগামী  বছর  মনে হয় সে জন্মের সময়ের মতো হয়েই জন্মদিন পালন করবে।",1
নষ্টামি বাদরে পাগলি,1
লুংগি পরছ কেন সুনাহ,0
আল্লাহ এদেরকে হেদায়েত দান কর,0
"এই বুড়ো লোকটাকে এ ভাবে দেখলে লজ্জা লাগে,বুড়ো মানুষ তো ছোট বাচ্চাদের মতই,সব জায়গায় উনাকে না টানলেও হয়,",0
পরির জন্য আমার প্রিয় বন্দু  এর পক্ষ তেকে এক ভুক ভাল বাসা,1
শি ইজ গন,0
শয়তানের ছবি,1
"হাইরে বাপ করে যে পাপ,চেহারা যার দারি টুপি,",1
শুভ জন্মদিন,0
মেয়েটার লজ্জা নেই,1
টুপিটা খুলে চুমা দেন,1
জে সব সাংবাদিকরা এই সব খবর প্রচার করে ওগো মতো বোকাচোদা দ্বিতীয় কেউ নাই,1
পরিমনি খুব রসালো একটা মেয়ে,1
নানা হইল বুইড়া শয়তান,1
নানা যেভাবে ধরছেন ভালোই করছেন। তবে নিজেকে কন্ট্রোলে রাইখেন না হয় ওযু ভেঙ্গে যাওয়ার সম্ভাবনা আছে।,1
বুড়া নানায় শেষ,1
শয়তান কখনো ভালো হয় না,1
"হালার বুইরা এই যায়গায় না দিয়া, ওই যায়গায় দিতি।",1
জনপ্রিয় না বলেন ভাইরাল,0
নানাট সামনে বের কোরে দিছ।আহ কপাল নানার।,1
বালের মায় বালের প্রিয়,1
জুম বাংলার সাংবাদিক ছাড়া পাইলো কবে??,0
চামড়া শিল্প বেপক উন্নয়ন হচ্ছে বাংলাদেশে আমাদের চামড়া শিল্প অবদান পরিবর্তন এনেছে মরি মনি,1
নষ্ট মহিলার নষ্ট কারবার,1
"প্রিয় নানা উচিৎ যে তার নাতিকে বিয়ে দেওয়ার,,অতচয় শালা বুড়া মাসতি মাসতি করে,,",1
"অত্তর মাইরে বাপ,,,চুদানি আর ভালা অইলিনা",1
আমি দাওয়াত পাইছিলাম সময়ের অভাবে যেতে পারি নাই,0
এই শয়তান আর ভালো হবেনা,1
বাংলাদেশের জন্য পরীমনি একটা গজব,1
এখানে চামরা বিকরি হয় ৫০টাকা,1
"ওই নায়িকার জন্মদিনে লুঙ্গিকাণ্ড, হাত মুঠো করে মর্ধ্য আঙ্গুল উঁচু করাসহ নানা অস্বাভাবিক আচরণ অসুস্থতাই মনে হয়েছে। ব্যক্তি স্বাধীনতা মানে যা ইচ্ছে তা নয়। তার মানসিক অসুস্থতা থাকলে সহমর্মিতার সাথে বলতে চাই, অনুগ্রহ করে চিকিৎসা নিন। যারা তার কাছের আছেন তাক…",1
এই নানা কি করে এমন একটির নাতির জন্মদিনে যায়।এই নানার কি মরনের ভয় নাই।সি সি সি মিডিয়ার মানুষ,1
শেষ পর্যন্ত এই বুড়োটাকেও ছাড়লি না,1
মুরুব্বি কামডা ঠিক করে নাই,1
ও দুইটাই লুচ্চা,1
এই বেটি যে আরো কত কিছু দেখাবে আল্লাহ জানে,1
পরি তুমি জনি দাদারে এবার  ইনভাইট কর নাই কেন,1
হেতির জন্মদিনে এত খুসি যে হেতি পেন পরতে বুলে গেছে।,1
পাগলের বাচ্চা,1
তার অশ্লীলতা দিন দিন বেড়েই চলেছে।,1
ওরে নানা রে!!,1
ভালো হয়ে যাও পরী,1
বছরে কয়বার জন্মদিন আসে এই বেহায়ার,1
এই সময়ের আলোচিত নষ্টা মেয়ে,1
এই সাংঘাতিক চোরা কত টাকা পাইছ।।।,0
নানা বুরা কালে ও এসব করে,1
বুইড়া বেডীর আবার জন্মদিন,1
বুইয়ারে তেতইর ছিবা উয়ালন দরকার,1
বুরা নানায় কোথায় চুমা দিল,1
আগের জন্মদিনটা কার সাথে দেখেছিলাম মনে আসছে না,1
খেলা হবে,1
কাকই কি করে,1
বদমাইশ একটা,1
নানা করতেছে ডা কি,1
পরিমনি র ভিডিও র লিঙ্ক থাকলে দিয়েন কেউ দেইখা কাজটা সারি,1
জামাটা পুরাটা খুলে ফেলে নানুর কাছে গেলে আরো ভালো হতো,1
আসলে যারা সুপারস্টার হিরোইন তাদের ব্যাপারি আলাদা,1
অবৈধ টাকা চোখের দেখা দেখতে সুন্দর লাগে,0
ফালতু খবর আর কিছু আছে.....,0
শালা সাংবাদিক খাই আর কোন কাম নাই ফালতু নিউজ।,1
ফা‌জিল মে‌য়ে,1
নানার তো জোয়ানি চলে আসবে,1
"পরি আসলেই একটা মাল বাংলাদেশের, সেটা এ প্রমাণ করে দিয়েছে।",1
অর্থ থাকলে গর্তের অভাব হয় না,1
হাই পাগলি,1
এরকম একটা নাতনি থাকলে নানার আর কি লাগে,1
ম্যাগী লুডলস,1
চামড়া বিক্রি করা টাকা কত পার্টি হবে,1
বৈ কি পড়তে হবে,0
ওর চেয়ে পতিতলার মেয়েরাও ভালো,1
জন্মদিন এ পরি মনিকে কেক খাওয়ালাম,1
খল নাইকা,1
অত্যন্ত সস্তা দামের নারী  এর চেয়ে  বেশী কিছু মনে হয় না,1
"কি জ্বালায় আছেরে ভাই বুইরা নানাও চুমা খায়,, পুলিশ ও খায়,ডিরেক্টর ও খায়,নায়ক ও খায় আশেপাশের কিছু হোমরাচোমরারা টাকা ওয়ালা কাকুরাও খায় এতো লোক তাও খয় নাই ্্্কি জিনিস দিলা দয়াল।।।",1
এটাই জাহিলিয়াত,1
আপনাদের মতো সাংবাদিকদের সম্ভব,0
তে কিতা হইছে,0
কম পানির মাছ বেশি পানিতে পরলে যা হয় আর কী,0
কম পানির মাছ বেশি পানি পেয়ে যা করে,0
জন্মদিনে লুঙ্গি ডান্স  দিয়েছে,1
নানা কি খাচ্ছে,1
দাদার সোনা ট্রইং,1
ছেমরি তুই ইট্টু ভালো ড্রেস পড়তে পারিস না,1
আপায় দি লুঙ্গি পরছে,1
২ টা মাংসপিন্ডের জন্য এত জনপ্রিয়তা?,1
কিছুদিন আগে পুলিশের প্যাদানি খেয়ে হয়নি এখন জনগণের বাঁশ খাইতে হবে,1
বুড়া খাটাস,1
কে এই মুরব্বি,0
জনপ্রিয় মানে?????,0
"শুভ জন্মদিন লুচ্চা বন্ধু,,,",1
বুড়োর মনেও ক্রাস উঠেছে,1
জনপ্রিয়!  কিসের জন্য অভিনয় এর জন্য নাকি সমালোচনার?,0
ওহ নো।,0
কুত্তার লেজ কখনো সোজা হয়না,1
অনেক গালি দিতে মন চায় কিন্তু সাক্ষাৎ নডির জন্য তো আর নিজের মুখ খারাপ করতে পারবো না।,1
বাংলাদেশ সরকার যদি আমাকে পুলিশের চাকরি টা দিত তাহলে পরীমনিকে নিয়ে গিয়ে আমি থানার মধ্যে ভিজিট লাগায়া দিতাম একজন একজন ভাবে চুদতেপারে চুদলে একজন একজন করে টাকা দিত,1
ওরে চাচি আম্মা,0
আমার নজর খুবি খারাপ,1
ওরে জন্মদিন রে! তুই না আসলেও পারতি,0
লেংটির পয়দা লেংটি,1
এই বুরা নানা এইগুলো কিভাবে সাপোর্ট করেন?,1
লেরিমনি হাগু করছে কোন দিন এইটা সাংবাদিক দের কাছে জানতে চাওয়া হল,1
বিনোদন,0
পরীমনীর এহেন অশ্লীলতার মধ্যে অন্তত এই বৃদ্ধ কে আনিয়েন না,1
ভাই আপনাকে ছাড়া এই জন্মদিন অসম্পূর্ণ,0
নোংরা মেয়ে পরীমনি,1
চেহারা দেখলেই বোঝা যায়,0
কেক কি কোদাল দিয়া কাটবো.?,0
নানাও একখান আরেক জিনিস۔۔۔ নিজের লুঙ্গিটা পর্যন্ত নাতিনকে দিয়া দিসে۔۔۔,1
আমি কেক কাটা পরী আমি কেক কাটা পরী,0
নানা একজন বসকো মানুষ হয়ে ওই নোঙ্গরা পোশাকে কি,1
এদেরকে ঘিনা করা উচিত,1
এ-ই মেয়েটার মাথায় আসলে সিট আছে।,1
আলার ভুরা আরেক লপর!! মাদারী মনির নানা,1
সে সুন্নতের অবমাননা করেছে,1
"ও আবার জনপ্রিয় হলো কবে,,বেহায়া বেয়াদব মেয়ে।",1
ফ্রিয় ফরিমনি থুক্কু প্রিয় পরিমনি  তোমার জন্মদিনের গিফট,1
বাংলার জনপ্রিয়তার ব্যাশ্যা পরীমনি,1
এত ডিম দিল তাও এত তেজ,1
"গরু নু লাল কাপড়ড় দেখলে ভয় পেয়ে দৌড়ায়,পরিরে দেখে নানি।",1
আবাল সাংবাদিকের কোন কাজ নাই,1
এমন নাতিন সবার কপালে জুটে না,0
লজ্জা থাকা দরকার,1
নাউজুবিল্লাহ,0
ঐ বুড়ো দাদু জামাই নাকি,1
আল্লাহ ছাড় দেন ছেড়ে দেন না,1
পরিমনির নানা,0
লুঙ্গি ডান্স,0
বাংলার সানিলিয়ন,1
কমপক্ষে ৯০ % পোলাপান এই ছবি জুম দিয়ে দেখেছে।,1
সাইলেন্স প্রাপ্ত হয়ে আসছে,0
আয়েশ  মিঠে নাই,1
এই পরী এমন একটা মেয়ে যে সকালে এতিমখানায় যায় রাতে নষ্টামি করে  কিছুটা মিয়া খলিফার মতো হিজাব পড়লেই হুজুরীনি হয়না।,1
লুংগি টা ধার নে,0
এই শালি কখনোই ভালো হবেনা,1
আরেকজনের পারিবারিক ছবি সংগ্রহ করে ফেসবুকে আপলোড দিয়ে আপনি হাজী সাব বনে গেছেন তাতে কোন দোষ নাই?,0
নাস্কিক,1
টুপির ইজ্জত খাইছে,1
কেয়ামতের আলামত।শালা নানাও সুযোগ হাত ছাড়া করেনি।,1
বারো বাতারী,1
এত দিন আপনি কই ছিলেন ভাই??যখন হিন্দু মুসলিম এর ডাঙ্গা হলো,0
সমাজ কি দাইউস কাকে বলে বুঝে???,1
বুইড়া দেকি কি করে,0
নাউজুবিল্লাহ হে মিন জালিম,0
কুত্তা দিয়ে লারা উচিত,1
নাউজুবিল্লাহ,0
পরিমনি জনপ্রিয় নায়িকা?,0
হাতে লুঙ্গি কাছার দিলেও কেন জন্মদিনে,1
"শালি বেহারা নারি,থাংকি?",1
শেষ পযর্ন্ত ভদ্র লোক নানা টা কে ও জাহান্নামে নিয়ে গেলি,1
আমারে কেক দিবা না হলে আমি সব ফাস করে দিব,0
সাংবাদিকের খাইয়া কোন কাম কাজ নাই,0
হেডার জনপ্রিয়,1
কুত্তার লেজ কোন দিন সোজা হয় না,1
সালি,1
নানা সালারে ধুদ খেতে দে,1
বুড়া নাতিনের গালে কামড় দেয়,1
নানা কাম করেছে নাকি,1
"সোনার ,,, জনপ্রিয়তা নায়িকা,,, কারবালে দেখে এদের ছবি ,,,",1
এই ছবি গুলো দেখে বুরা মাথা ঠিক নেই আর পোলাপাইন কি করবে,1
ছেছরা সাংবাদিকরা আপনাদের কাজ চলে আসছে!,1
সুগার ডেডিদের জন্য পরিমনি একটা ম্যাসেজ দিছে!!!,1
পরের বার আমি আর আমার বন্দু  কেক আর মোমবাতি জালানোর জন্য আসবো আর এক লক্ষ টাকা উপহার দিব......    তখন আমাদের কেক মাখিয়ে দিও...,0
হিচা দি হিট,1
"আসো খেলবো খেলা হবে খেলা হবে,,,,",1
পরি মনে হয় এইবার সবাইরে দিয়া  নিজেকে  জেলে জেলের বাইরে উজার করে খাওয়াইছে। শরির এর সাথে টাকাও নাই হইয়া গেছে আর নতুন কাউরে জুটাইতেও পারে নাই  আর কামাইতেও পারে নাই তাই লুঙ্গী পরে চেট ডে পালন।,1
এটাকে শয়তানের মনি বলা যায় নাকি,1
ছী ছি ছি ছি ছি ছি ছি ছি..,1
এসব হট কাপর আর লাউ দেখে কখন যানি বুইরা চাচা মিয়ার ইন্জিন কাজ শুরু করতে মন চায়,1
নাউজুবিল্লাহ সাদা চামড়া,1
হুজুর দাদ এক নাম্বার লুচ্চা,1
যিকির করতে করতে লুঙ্গি খুইলা খুইলা গেছে!,1
সংবাদিক ভাই আপনার আর কোন কাজ নাই না।,0
হা***র পুত! টুপি মাথায় দিলেই কি নানা হওয়া যায়? টুপি দিয়েতো লুইচ্চাও হওয়া যায়!,1
বাংলাদেশের মিয়া খলিফা....  রাতের বিছানার বালিশ,1
জনপ্রিয় বাংলার মিয়া খলিফা,1
নরকের কীট এই পরিমনি,1
পরি আপুর বর্তমান অবস্থা,0
স্টেযে কেউ চুদে নাই?,1
"..কুচতো গারবার হে নানা ছারা এতো ফেনা কেউ দেবেনা,,",1
কাষ্টমার বাইরা গেলো,1
"এই পরীমনি, নাস্তিকের বাচ্চা, অনেক উল্টোপাল্টা শুরু করছে, কঠিন একটা শাস্তির আওতায় আনা দরকার।",1
"লাইসেন্স প্রাপ্ত ক্ষমতাধর ব্যাবসায়ী, যার অপরাধ গুলো সবই বৈধ, আর মামুনুল হকের বউ নিয়া রিসোর্টে যাওয়াটাও অবৈধ।",0
বাল ফেলানো সাংবাদিক...!আরে নিউজ না থাকলে ঘোড়ার ঘাস কাটবি।,1
সব নষ্টের মূল এই নানা,1
"একজন  নাইকার এইরকম কাজ সাভাবিক!যারা নাচে গান গায়  নতর্কি তাদের কোন লজ্জা থাকে না, যে কোন সময়  নাচতে গাইতে পারে!",1
নানা ভাই ও চাঙ্গা,1
চুমুটা মুখে না দিয়ে বুকে দিলে ভালো হত,1
নানার সাদা লুঙ্গি,0
পরীমনিকে দেহ ব্যবসা ও মাদক ছাড়তেই হবে। পরীমনির নানা..,1
কতো ছেলের ক্রাশ,1
পরি মনির নানা,0
লুঙ্গী পড়ছে নাকি,0
বোদা মনি,1
এসময়ের জনপ্রিয় চামড়া ব্যবসায়ী পরীমনি,1
নানায় একটা লোক,0
নানাও মজা নেয়,1
আমি উপস্থিত  ছিলাম,0
নাটের গুরু নানা,1
শুভ কাশিমপুর,0
বাজে নিউজ সাংঘাতিক ভাই,0
লুচ্চা নানার লুচ্চা নাতি,1
কষ্টে আছি কারণ পরীমনি ট্রিট দেয়নি!,1
আপনি যে পাপ কাজ করছেন আপনার ওমরা কবুল হয় কিনা আল্লাহ জানে। এখন সময় আছে তওবা করেন। আল্লাহ চাইলে মাপ ও করে দিতে পারেন। সিনেমা এবং মিডিয়ার সাথে কাজ করা বন্ধ করুন। আপনাকে অনেক সম্মান দিয়ে কথা বলতেছি। আপনি কিন্তু এত সম্মানের যোগ্য না। ইসলামের পথে আশার দাওয়াত রোইলো।,0
তাহলে কাহিনী সত্য,0
সালার চোখে ফ্যাক আইল্যাশ পরে হজ্জ করে কে???,1
সে কি তোমারে করছিল?,1
"আমি বুঝি না কেন বাংলাদেশের নায়িকাদের এত সুড়সুড়ি,? কয়দিন আগে বালমনি পরিমনির কান্ডে বাংলাদেশ মাতুয়ারা ছিল এখন আবার গরিবের আলিয়া- ভাট( মাহিয়া মাহিকে) নিয়ে মাতুয়ারা।  আর মুরাদের মত মাদারবোর্ডকে নিয়ে কি বলব লেন্টা মন্ত্রী হয় কেমনে??",1
"আল্লাহ পাক আমাদের সকলের অতীতের গুনাহ মাফ করে দিন,,,মন থেকে কেউ যদি আল্লাহর কাছে তওবা করেন, তাহলে অবশ্যই আল্লাহ মাফ করে দেন,,এটা সয়ং আল্লাহ গফুরুর রাহীম বলেছেন,,, সকলকে অনুরোধ করছি আর কোনো বাজে মন্তব্য করা থেকে  বিরত থাকতে,,,, নয়তো বাড়াবাড়ি করার কারণে আ…",0
এমন একটা পবিত্র জায়গায় অবস্থান করা কাউকে নিয়ে বাজে মন্তব্য করা কারো উচিৎ  হবেনা! আল্লাহ মাহির নেক মাকসুদ পুরন করুক এবং তাকে হেদায়াত দান করুক!,0
"তুই আর জায়গা ফাইলে নানি নাফরমান,",1
মন্ত্রী মুরাদের কন্ঠ নকল করে মাহিকে ফোন করেছিল জিয়াউর রহমান,1
আমি শুধু  অবাক  হচ্ছি যেএকটা মানুষ কে প্রথমবারে ফোন করে কি এভাবে কিছু বলা যায় তাছারা ইমনই তো আগে বললো  মাহি কে দিবো তার মানে ইমন যানে মাহি কে মুরাদ প্রায় চায় আর ওর পরে কি মুরাদ আর তাকে খুজিনি ওখানেই  শেষ  আল্লাহ  ভাল যানে আসলে বিষয় টা কি।,0
এখন নায়িকা  মহান আল্লাহ্  মেহমান। আল্লাহ্  পাকের পবিত্র  স্থান কাবা শরীফে তিনি অবস্থান  করছেন। দয়া করে কেউ খারাপ  কথা বা বাজে ভাষা ব্যবহার না করাই উওম।,0
"মুরাদ সাহেবের একটা চুল ছেড়ার ক্ষমতা কারোর নাই,,",0
ওমরা করতেছেন ভালো কথা...চোখে আইল্যাশ পরে??!!,1
আপনে তো আফা চ্যালচেলায়া বেহেশতে যাইবেন,1
"“আমি যা করি, নেত্রীকে জানিয়েই করি”",0
"দোস আপনার ও আছে,",1
তেনার অডিও শুনে মনে হয়েছে এর আগেও বহুবার তিনি টাকলা মুরাদকে সার্ভিস দিয়েছেন।,1
আল্লাহ পাক সবাইকে সঠিক পথে চলার তৌফিক দান করুন আমিন,0
এসব জঘন্য ব্যাপারে কথা বলার মানসিকতা নেই।কিন্তু হেরেম শরীফের মত এমন পবিত্র জায়গায় গিয়েও এই ব্যাপারে কথা বলা যা জাহিলিয়াত এর যুগকেও হার মানিয়ে দেয়।,0
ফেইক আইল্যাশ লাগায়ে এ কেমন ইবাদত বুঝলাম না!!,1
আল্লাহ আপনাকে হেদায়েত দান করুক।  ভালো কাজে গিয়েছেন ভালো করে রাখুক সারা জীবন (আমিন),0
সেদিন তাহলে গেছিলেন,0
পাপ বাপ কেউ ছাড়ে না।।ওমরা করতে গেছেন খুব ভাল কথা।।ওমরা করে এসে মুভি ছিনেমা বাদ দেন।যা পাপ করছেন আল্লাহ দরবারে কাদুন এবং তাহার কাছে ক্ষমা চান।।।ফিরে এসে পর্দাশীল একটা মেয়ে হয়ে স্বামি সংসার করেন।।।,0
"আরেক মহিলার স্বামী কে বিয়ে করে এখন ওমরা পালন করতে গেছেন,,,মানে বিষয় টা হলো বিসমিল্লাহ্ বলে মদ খাওয়া,,,আপনি ওমরা পালন করতে গিয়েছেন ভালো কাজ করতে গিয়ে ভন্ডামী ফাঁস হয়ে গেলো,,,আল্লাহ ও বুঝেছে,,,কারো মনে কষ্ট দিয়ে কেও সুখী হয় না,,কয়দিন পরে আরেকজনের স্বামীক…",1
"আমি মনে করি,",0
ইবাদত করতে যেয়ে চোখে আইলেষ পড়ে গেছেন বাবাগো বাবা,1
এভাবে সুন্দর সুন্দর খবর দেবেন,0
মুরাদ এবং মাহির ডিএনএ টেস্ট করা জন্য অনুরোধ করছি তাহলে আরও কিছু জানা যাবে,1
বোন তোমাকে অনেক অনেক ধন্যবাদ  দোয়া করি তোমার জীবনে আর কোন দিন এইরকম মানুষের কুদৃষ্টি যেন না পরে।আল্লাহ তোমাকে সুখি করুক,0
যাইও আবার নৌকার প্রচারণা কোরতে,0
ওমরাহ শেষ করে এসে আবার ঝাকানাকা হবে নাকি.??,1
পাশ কাটিয়ে হুগা বিছিয়ে দিয়েছেন বিছানায়,1
এমন পবিত্র জায়গায় ভিডিও টা না করলেও পারতেন,0
আল্লাহ কখন কাকে৷ হেদায়েত দান করে কেও বলতে পারে নাহআপনি যদি এই উমরা থিকা ভালো কিছু শেখেন যদি আল্লাহ  র রাস্তাই আস্তে পারেন তাইলে সত্যিই আলহামদুলিল্লাহ,0
এই ছোট্ট জমিতে এত কৃষক কেনো ভাই,0
এত তাড়াতাড়ি লাইভে আসার কি দরকার ছিল,1
ওমরাতে গিয়েও আপা আইল্যাশ লাগাইতে ভুলে নাই,1
হজ এ আইল্যাস ইউজ করে ইবাদত!!,1
